datetime,open,high,low,close,volume
2025-04-30 18:00:00,212.0900,212.1900,210.9800,211.8400,74395
2025-04-30 17:45:00,212.2100,212.5200,211.9300,212.0500,14220
2025-04-30 17:30:00,212.1000,212.5000,211.8100,212.2000,1067430
2025-04-30 17:15:00,211.9000,212.4000,211.5000,212.1500,18174
2025-04-30 17:00:00,212.5200,220.9260,202.0365,211.9000,46897
2025-04-30 16:45:00,212.4300,219.0465,202.0365,212.5000,70772
2025-04-30 16:30:00,212.4700,212.9300,212.3000,212.5500,79614
2025-04-30 16:15:00,211.5200,212.6000,211.3000,212.5900,115871
2025-04-30 16:00:00,212.4600,212.8000,210.9000,211.5138,33402485
2025-04-30 15:45:00,210.9500,213.5800,210.9450,212.4800,6127503
2025-04-30 15:30:00,210.3750,211.0000,210.0500,210.9500,949053
2025-04-30 15:15:00,211.0500,212.4900,210.2500,210.3446,802018
2025-04-30 15:00:00,210.6600,211.0500,210.6500,211.0301,522319
2025-04-30 14:45:00,210.6000,211.3100,210.5700,210.6520,667403
2025-04-30 14:30:00,210.7000,211.0700,210.1200,210.6300,880093
2025-04-30 14:15:00,211.4987,211.8500,210.3150,210.7150,817921
2025-04-30 14:00:00,211.1300,212.9700,210.7600,211.4600,1347661
2025-04-30 13:45:00,211.5400,211.5500,211.1014,211.1031,519657
2025-04-30 13:30:00,211.0700,211.8500,210.9200,211.5250,762068
2025-04-30 13:15:00,210.1600,211.2100,210.1600,211.0800,598318
2025-04-30 13:00:00,210.9150,211.1700,209.8000,210.1400,631115
2025-04-30 12:45:00,211.0700,211.0700,210.6500,210.9200,508065
2025-04-30 12:30:00,210.5900,211.3600,210.2200,211.0700,724860
2025-04-30 12:15:00,210.6100,210.9500,210.3900,210.5900,541979
2025-04-30 12:00:00,211.0400,211.2800,210.5800,210.6100,770695
2025-04-30 11:45:00,210.5906,211.1300,210.4400,211.0500,797917
2025-04-30 11:30:00,210.5600,210.7200,209.9500,210.6300,630128
2025-04-30 11:15:00,210.5050,210.8600,209.9900,210.5450,829434
2025-04-30 11:00:00,209.5900,210.6400,209.5600,210.5000,1009727
2025-04-30 10:45:00,209.3800,209.7500,208.8700,209.6355,903203
2025-04-30 10:30:00,209.3495,209.6900,208.7101,209.4200,1039976
2025-04-30 10:15:00,208.2142,209.3499,208.2142,209.3212,945767
2025-04-30 10:00:00,207.1850,208.3400,207.1400,208.2200,1149577
2025-04-30 09:45:00,207.4100,209.1401,207.0000,207.1400,1393873
2025-04-30 09:30:00,209.3000,209.7200,206.6705,207.4150,2809204
2025-04-30 09:15:00,207.2500,209.6800,207.1500,209.3400,199705
2025-04-30 09:00:00,207.4800,210.6900,207.0100,207.1500,83089
